rate,source,target,time
5.62761,GBP,MYR,2022-01-31T23:59:35+0000
5.61502,GBP,MYR,2022-01-30T23:59:16+0000
5.65319,GBP,MYR,2022-02-04T23:59:07+0000
5.66089,GBP,MYR,2022-02-01T23:59:52+0000
5.65319,GBP,MYR,2022-02-05T23:59:42+0000
5.67471,GBP,MYR,2022-02-02T23:59:38+0000
5.65591,GBP,MYR,2022-02-06T23:59:11+0000
5.66557,GBP,MYR,2022-02-07T23:59:22+0000
5.68914,GBP,MYR,2022-02-03T23:59:41+0000
5.66322,GBP,MYR,2022-02-09T23:59:49+0000
5.66908,GBP,MYR,2022-02-08T23:59:31+0000
5.66885,GBP,MYR,2022-02-10T23:59:14+0000
5.68557,GBP,MYR,2022-02-11T23:59:50+0000
5.68515,GBP,MYR,2022-02-13T23:59:34+0000
5.68557,GBP,MYR,2022-02-12T23:59:50+0000
5.67058,GBP,MYR,2022-02-14T23:59:26+0000
5.6686,GBP,MYR,2022-02-15T23:59:29+0000
5.68503,GBP,MYR,2022-02-16T23:59:06+0000
5.7017,GBP,MYR,2022-02-17T23:59:05+0000
5.68773,GBP,MYR,2022-02-18T23:59:55+0000
5.68773,GBP,MYR,2022-02-19T23:59:56+0000
5.68203,GBP,MYR,2022-02-21T23:59:07+0000
5.68961,GBP,MYR,2022-02-20T23:59:41+0000
5.61737,GBP,MYR,2022-02-24T23:59:42+0000
5.66947,GBP,MYR,2022-02-23T23:59:51+0000
5.68768,GBP,MYR,2022-02-22T23:59:46+0000
5.63178,GBP,MYR,2022-02-25T23:59:04+0000
5.63178,GBP,MYR,2022-02-26T23:59:01+0000
5.61624,GBP,MYR,2022-02-27T23:59:35+0000
5.63544,GBP,MYR,2022-02-28T23:59:46+0000
5.59011,GBP,MYR,2022-03-01T23:59:18+0000
5.61987,GBP,MYR,2022-03-02T23:59:10+0000
5.5894,GBP,MYR,2022-03-03T23:59:55+0000
5.52875,GBP,MYR,2022-03-04T23:59:06+0000
5.52875,GBP,MYR,2022-03-05T23:59:10+0000
5.51997,GBP,MYR,2022-03-06T23:59:51+0000
5.47796,GBP,MYR,2022-03-07T23:59:27+0000
5.47866,GBP,MYR,2022-03-08T23:59:58+0000
5.52035,GBP,MYR,2022-03-09T23:59:29+0000
5.4873,GBP,MYR,2022-03-10T23:59:01+0000
5.46837,GBP,MYR,2022-03-11T23:59:43+0000
5.46837,GBP,MYR,2022-03-12T23:59:28+0000
5.47382,GBP,MYR,2022-03-13T23:59:54+0000
5.48845,GBP,MYR,2022-03-15T23:59:06+0000
5.47071,GBP,MYR,2022-03-14T23:59:29+0000
5.50895,GBP,MYR,2022-03-16T23:59:14+0000
5.52086,GBP,MYR,2022-03-17T23:59:17+0000
5.52554,GBP,MYR,2022-03-18T23:59:35+0000
5.52554,GBP,MYR,2022-03-19T23:59:23+0000
5.51778,GBP,MYR,2022-03-20T23:59:53+0000
5.53714,GBP,MYR,2022-03-21T23:59:26+0000
5.59255,GBP,MYR,2022-03-22T23:58:59+0000
5.57843,GBP,MYR,2022-03-23T23:59:40+0000
5.57654,GBP,MYR,2022-03-24T23:59:46+0000
5.55049,GBP,MYR,2022-03-25T23:59:59+0000
5.55049,GBP,MYR,2022-03-26T23:59:07+0000
5.54649,GBP,MYR,2022-03-27T23:59:56+0000
5.52362,GBP,MYR,2022-03-28T23:59:51+0000
5.51758,GBP,MYR,2022-03-29T23:59:47+0000
5.52777,GBP,MYR,2022-03-31T23:59:09+0000
5.52324,GBP,MYR,2022-03-30T23:59:17+0000
5.52228,GBP,MYR,2022-04-01T23:59:52+0000
5.51765,GBP,MYR,2022-04-03T23:59:11+0000
5.52228,GBP,MYR,2022-04-02T23:59:28+0000
5.53062,GBP,MYR,2022-04-04T23:59:45+0000
5.50738,GBP,MYR,2022-04-05T23:59:17+0000
5.50858,GBP,MYR,2022-04-06T23:59:08+0000
5.50294,GBP,MYR,2022-04-08T23:59:08+0000
5.51283,GBP,MYR,2022-04-07T23:59:47+0000
5.50294,GBP,MYR,2022-04-09T23:59:44+0000
5.50146,GBP,MYR,2022-04-10T23:59:49+0000
5.50917,GBP,MYR,2022-04-11T23:59:58+0000
5.50342,GBP,MYR,2022-04-12T23:59:56+0000
5.54978,GBP,MYR,2022-04-13T23:59:51+0000
5.52824,GBP,MYR,2022-04-14T23:59:37+0000
5.53156,GBP,MYR,2022-04-15T23:59:58+0000
5.53156,GBP,MYR,2022-04-16T23:59:34+0000
5.53029,GBP,MYR,2022-04-17T23:59:23+0000
5.53489,GBP,MYR,2022-04-18T23:59:19+0000
5.55026,GBP,MYR,2022-04-19T23:59:39+0000
5.59593,GBP,MYR,2022-04-20T23:59:48+0000
5.58881,GBP,MYR,2022-04-21T23:59:38+0000
5.55287,GBP,MYR,2022-04-22T23:59:30+0000
5.55287,GBP,MYR,2022-04-23T23:59:25+0000
5.54876,GBP,MYR,2022-04-24T23:59:43+0000
5.54996,GBP,MYR,2022-04-25T23:59:21+0000
5.48033,GBP,MYR,2022-04-26T23:59:01+0000
5.46766,GBP,MYR,2022-04-27T23:59:20+0000
5.43929,GBP,MYR,2022-04-28T23:59:47+0000
5.47453,GBP,MYR,2022-04-29T23:59:13+0000
